datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B2;C;D;E;D1_unveraendert;D1_veraendert;D1;D1_1;D1_2;D1_3;D1_4;D1_5;D1_6;D1_7;D1_8;D1_9;D1_10;D1_11;D1_12;D1_13;D1_14;D1_15;D1_16;D1_17;D1_18;D1_19;D1_20;D1_21;D1_22;D1_23;D1_24;D2_unveraendert;D2_veraendert;D2;D2_1;D2_2;D2_3;D2_4;D2_5;D2_6;D2_7;D2_8;D2_9;D2_10;D2_11;D2_12;D2_13;D2_14;D2_15;D2_16;D2_17;D2_18;D2_19;D2_20;D2_21;D2_22;D2_23;D2_24;D5_unveraendert;D5_veraendert;D5;D5_1;D5_2;D5_3;D5_4;D5_5;D5_6;D5_7;D5_8;D5_9;D5_10;D5_11;D5_12;D5_13;D5_14;D5_15;D5_16;D5_17;D5_18;D5_19;D5_20;D6_unveraendert;D6_veraendert;D6;D6_1;D6_2;D6_3;D6_4;D7_unveraendert;D7_veraendert;D7;D7_1;D7_2;D7_3;D7_4;D7_5;D7_6;D7_7;D7_8;D7_9;D7_10;D7_11;D7_12;D7_13;D7_14;D7_15;D7_16;D7_17;D7_18;D7_19;D7_20;D7_21;D7_22;D7_23;D7_24;D8_unveraendert;D8_veraendert;D8;D8_1;D8_2;D8_3;D8_4;D8_5;D8_6;D8_7;D8_8;D8_9;D8_10;D8_11;D8_12;D8_13;D8_14;Summe_unveraendert;Summe_veraendert
15.03.2020;Wahl des Stadtrats;09677148;0001;001 Karlstadt-Altstadt;1;1;744;728;0;1472;242;13;8;4979;242;16;12;1072;130;40;64;73;26;55;36;59;32;40;45;31;58;26;43;38;27;30;42;33;25;28;25;66;29;18;1802;189;183;116;57;94;81;52;52;52;96;43;47;46;52;70;78;88;83;64;56;51;39;49;64;13;4;849;129;27;37;39;56;25;71;73;23;23;33;46;28;25;38;32;38;34;26;46;1;0;58;26;14;9;9;9;7;726;77;82;24;28;40;17;18;49;15;14;31;19;39;19;17;53;15;14;45;13;18;35;33;11;7;7;472;84;27;44;41;39;26;37;26;39;37;21;15;22;14;75;48
15.03.2020;Wahl des Stadtrats;09677148;0002;002 Karlstadt-Siedlung I;1;1;815;1155;0;1970;257;1;6;5396;257;20;12;1363;159;48;88;77;50;61;44;89;52;64;45;35;66;49;45;35;41;34;60;42;32;36;52;59;25;17;1664;161;198;104;60;75;77;58;43;52;82;47;58;57;51;59;43;114;41;48;62;45;40;40;49;12;10;935;166;51;52;42;41;42;60;59;29;36;42;62;40;22;30;34;42;28;18;39;0;2;52;28;6;12;6;14;6;947;116;93;35;41;54;28;45;51;25;25;40;23;27;23;23;36;40;23;44;19;37;31;48;20;6;4;435;66;34;50;51;36;20;32;21;34;24;20;14;21;12;77;51
15.03.2020;Wahl des Stadtrats;09677148;0003;003 Karlstadt-Siedlung II;1;1;747;1174;0;1921;303;0;12;6124;303;18;12;1338;193;49;77;89;41;68;41;84;37;70;55;39;68;39;35;41;32;43;42;48;31;29;32;55;46;22;2416;216;239;122;80;104;127;65;78;77;155;68;78;91;80;77;70;152;80;75;95;86;59;72;70;9;12;990;201;60;51;34;55;25;84;54;24;26;34;70;30;43;22;31;37;42;24;43;2;0;65;28;12;10;15;10;12;916;131;115;39;61;50;30;60;49;22;20;41;21;25;16;19;24;40;15;32;18;19;20;36;13;8;2;399;61;32;30;56;31;20;22;20;35;31;14;16;13;18;93;60
15.03.2020;Wahl des Stadtrats;09677148;0004;004 Karlstadt-Gambach;1;1;426;589;0;1015;174;0;12;3320;174;9;11;1107;73;29;43;26;28;25;280;26;26;39;23;19;31;23;17;22;17;18;19;16;247;22;14;24;5;5;448;28;32;21;12;13;16;15;13;13;20;130;8;14;8;15;8;19;15;10;10;7;8;7;6;6;5;1078;37;244;19;19;13;21;20;16;15;203;12;14;229;8;12;13;10;7;146;20;0;0;14;3;3;4;4;4;1;550;21;15;10;9;10;20;8;11;159;11;9;6;9;13;6;6;5;5;8;5;5;5;7;187;1;0;123;15;6;4;10;12;4;4;50;4;4;5;2;2;1;25;22
15.03.2020;Wahl des Stadtrats;09677148;0005;005 Karlstadt-Heßlar;1;1;101;171;0;272;62;0;2;1221;62;2;10;601;59;9;36;17;6;6;7;88;125;19;16;20;12;6;16;12;12;66;23;6;7;6;16;11;2;4;289;48;51;21;8;9;14;12;8;9;17;8;12;5;6;7;3;14;6;6;6;2;2;5;10;0;0;73;29;6;7;3;0;4;1;1;1;0;0;13;0;0;1;0;4;3;0;0;0;0;1;0;1;0;0;2;1;233;23;35;3;31;7;5;10;16;3;6;9;3;3;10;3;6;5;6;9;4;19;2;10;5;0;1;24;2;2;2;2;2;2;2;2;2;2;1;1;1;1;6;16
15.03.2020;Wahl des Stadtrats;09677148;0006;006 Karlstadt-Karlburg;1;1;570;979;0;1549;220;2;10;4452;220;16;14;1419;138;45;74;133;33;47;34;76;52;201;53;29;22;24;29;31;30;23;23;30;27;55;161;49;15;4;905;100;107;59;75;29;35;27;24;25;56;21;20;34;21;24;24;43;31;32;30;19;18;20;31;4;5;698;86;24;21;12;25;157;40;27;125;12;24;25;19;12;9;19;22;19;11;9;0;0;27;8;9;0;10;8;10;1355;66;51;193;62;23;19;145;187;15;125;18;13;17;20;12;21;107;12;25;138;23;12;35;16;1;0;48;9;2;2;3;6;2;3;3;5;3;3;2;3;2;44;33
15.03.2020;Wahl des Stadtrats;09677148;0007;007 Karlstadt-Laudenbach;1;1;349;534;0;883;132;1;2;2663;132;9;12;1065;133;27;39;31;197;25;27;47;28;27;55;17;21;181;17;34;14;19;20;20;17;22;29;18;6;11;852;80;56;122;25;31;29;17;17;20;16;14;13;20;13;106;10;19;14;18;109;9;15;12;67;0;0;154;48;5;11;4;3;3;12;1;3;4;0;6;8;4;31;2;2;3;3;1;0;0;23;7;5;4;7;1;1;365;29;21;6;13;7;63;6;20;6;10;8;4;6;93;6;3;8;3;8;5;18;2;14;6;1;3;204;29;12;15;12;11;8;9;9;29;19;7;9;8;27;17;27
15.03.2020;Wahl des Stadtrats;09677148;0008;008 Karlstadt-Mühlbach;1;1;132;165;0;297;54;0;2;1074;54;9;9;468;54;19;24;16;19;20;14;15;13;30;35;17;13;19;13;16;13;27;11;10;10;15;15;30;7;1;289;25;19;13;10;12;9;9;9;12;10;11;9;18;11;10;7;20;11;10;16;11;10;10;7;1;4;136;20;8;8;7;12;9;8;7;8;3;3;6;4;3;6;6;6;3;3;6;0;0;7;4;0;1;2;1;1;133;18;12;5;8;5;25;5;11;2;2;1;1;1;1;1;12;5;1;4;1;9;1;1;1;1;0;41;9;2;3;5;5;2;2;2;2;2;1;1;4;1;19;15
15.03.2020;Wahl des Stadtrats;09677148;0009;009 Karlstadt-Rohrbach;1;1;148;220;0;368;79;0;2;1604;79;6;4;646;52;17;92;16;14;11;20;20;19;17;15;136;14;17;14;22;9;21;11;11;11;36;25;26;4;1;349;26;32;18;25;10;7;101;7;7;10;7;5;11;8;11;5;9;5;8;11;5;5;5;11;0;1;256;17;17;134;11;5;2;19;8;8;2;2;2;2;2;2;8;5;2;1;7;0;0;15;3;0;6;6;0;2;299;33;17;23;58;8;2;23;14;2;2;2;17;1;1;4;1;1;61;4;1;24;0;0;0;0;0;39;10;0;4;0;4;2;2;2;4;2;2;2;5;0;10;8
15.03.2020;Wahl des Stadtrats;09677148;0010;010 Karlstadt-Stadelhofen;1;1;69;68;0;137;52;0;2;1034;52;2;7;518;41;9;40;24;21;24;9;15;31;26;50;12;8;5;8;56;8;25;7;23;4;19;36;17;0;0;37;6;15;6;0;0;0;3;0;0;0;0;3;0;3;0;0;1;0;0;0;0;0;0;0;0;1;71;10;0;31;0;4;1;3;0;0;0;9;9;0;0;0;1;0;3;0;0;0;0;3;3;0;0;0;2;4;328;37;9;14;38;6;28;7;10;7;6;3;6;10;17;3;6;4;6;3;3;99;2;2;2;0;2;77;9;9;9;6;9;6;4;4;5;2;4;4;5;1;4;14
